epoch,train_loss,val_loss
689,-11750.442140083092,
690,-12028.290609194364,-12225.486694335938
691,-11911.413797191113,
692,-11873.728171287934,
693,-12083.776739748917,
694,-12024.474202944364,
695,-11745.822813177385,-12307.985778808594
696,-11952.261820357659,
697,-12100.759184203396,
698,-11856.616470601517,
699,-11906.225089188945,
700,-12134.060083995664,-12441.651245117188
701,-11901.998306539017,
702,-11849.437945944725,
703,-12085.20891099169,
704,-11835.780442783598,
705,-11961.874819364162,-12739.021911621094
706,-12133.67087585802,
707,-11826.624333905347,
708,-12067.117943912572,
709,-12045.531018560332,
710,-11890.229802655347,-12254.689880371094
711,-12076.997437229047,
712,-12135.746381638368,
713,-11747.909394192558,
714,-12022.127540191474,
715,-12178.20891099169,-12201.500549316406
716,-11858.949946938223,
717,-11988.57713150289,
718,-12197.665631773843,
719,-11984.072869626083,
720,-12025.895366690751,-12459.965942382812
721,-12132.388892024928,
722,-11832.438087066474,
723,-12023.504848943281,
724,-12215.791907514451,
725,-11842.444985097543,-12313.092163085938
726,-11982.42298703938,
727,-12160.611028946892,
728,-11941.885093027457,
729,-11943.008038294798,
730,-12160.774199557442,-12438.604125976562
731,-11904.696097136923,
732,-11945.953836253613,
733,-12122.45903517883,
734,-12211.169261425217,
735,-11864.452865335983,-12201.302429199219
736,-11968.769988484466,
737,-12146.231010657515,
738,-11972.281283869219,
739,-12051.795113800577,
740,-12109.064345872472,-11969.881042480469
741,-11964.405307306719,
742,-12117.489585214957,
743,-12016.875248374277,
744,-11903.288277863077,
745,-12123.378748193642,-12477.471069335938
746,-12073.112411940028,
747,-11813.57896608562,
748,-12100.414621342125,
749,-11956.246771134392,
750,-11931.149741464957,-12624.003845214844
751,-12168.584752077311,
752,-11902.438566880419,
753,-12025.115420655708,
754,-12208.279104949423,
755,-11911.134359194364,-12417.794555664062
756,-12089.19832121568,
757,-12133.13099485188,
758,-11992.223136063945,
759,-12095.117994716402,
760,-12128.616244806719,-12321.166625976562
761,-11841.863772353685,
762,-12134.982929913294,
763,-12122.710293984826,
764,-11913.820120574423,
765,-12168.953621748555,-12612.740173339844
766,-12168.745580066836,
767,-11849.361587789017,
768,-12157.743841446892,
769,-12215.512509031792,
770,-11945.973017521676,-12371.36328125
771,-12107.894717530708,
772,-12282.58396744039,
773,-11920.796841130781,
774,-12031.819008535043,
775,-12258.330840182442,-12276.25439453125
776,-12021.723869897038,
777,-12119.928010973626,
778,-12230.690949015534,
779,-12029.640794346098,
780,-12280.462534998194,-12463.65625
781,-12090.443709356936,
782,-12017.950454976517,
783,-12266.739636018787,
784,-12044.635149476157,
785,-12159.512842079119,-12384.222595214844
786,-12151.059242910043,
787,-12043.32717101698,
788,-12315.43274701951,
789,-11947.264563764451,
790,-11948.022359329841,-12567.515319824219
791,-12206.230378432081,
792,-12113.549274069725,
793,-11879.50773911669,
794,-12185.854057532515,
795,-12295.936026688945,-12420.5380859375
796,-11930.264219427385,
797,-12147.015862084538,
798,-12340.237790146315,
799,-11984.207849756142,
800,-12108.854932487355,-12518.799499511719
801,-12297.214160720738,
802,-12105.893735323338,
803,-12121.327520998917,
804,-12320.972938493496,
805,-12034.313075776734,-12468.884826660156
806,-12248.773911669075,
807,-12268.490375496749,
808,-12118.92774566474,
809,-12310.20118880961,
810,-12205.920294436417,-12189.168029785156
