epoch,loss
457,-9668.213521064083
458,-9696.795861352848
459,-9563.500655162183
460,-9584.505636867088
461,-9597.425534018987
462,-9629.991903184335
463,-9671.343799446202
464,-9651.036206981804
465,-9582.455535502373
466,-9520.125086530854
467,-9604.602291831487
468,-9630.898771261867
469,-9684.648944323575
470,-9560.713212025317
471,-9415.620994857594
472,-9600.64240506329
473,-9679.782857001583
474,-9724.799062994462
475,-9754.91423556171
476,-9634.325541435917
477,-9581.664878362342
478,-9718.051720727848
479,-9699.642541040348
480,-9763.86326888845
481,-9778.505006428006
482,-9642.097161787975
483,-9649.363058742088
484,-9530.272955399525
485,-9662.441196103639
486,-9574.53142306171
487,-9575.690466772152
488,-9715.661775613133
489,-9749.14471667326
490,-9732.71659909019
491,-9732.884246439873
492,-9784.781781546677
493,-9824.650118670887
494,-9834.85333020174
495,-9696.906596123417
496,-9753.451072982594
497,-9713.481976859177
498,-9591.541497725475
499,-9731.447599386867
500,-9794.588125494462
501,-9758.735215585442
502,-9669.691319719146
503,-9748.271830498417
504,-9752.139932753165
505,-9783.233522053006
506,-9667.013338113133
507,-9582.215746143196
508,-9732.499320114715
509,-9802.245982496044
510,-9691.87073526503
511,-9694.749604430379
512,-9682.963953718354
513,-9799.958885482594
514,-9824.747391712817
515,-9816.533091871044
516,-9842.150341178798
517,-9856.28966821598
518,-9866.151119956487
519,-9857.287764537183
520,-9694.16309829905
521,-9751.742125692246
522,-9660.280619560917
523,-9560.898981408227
524,-9605.470851463608
525,-9486.187153876583
526,-9765.901614418513
527,-9838.694422468354
528,-9903.275390625
529,-9944.257404568829
530,-9942.914618769779
531,-9954.62205795095
532,-9942.361414655854
533,-9954.576048259494
534,-9933.70250692247
535,-9899.088632318038
536,-9742.719590585442
537,-9829.655817345727
538,-9854.412072290348
539,-9815.119400217563
540,-9775.469776008702
541,-9889.983979430379
542,-9877.922196400317
543,-9757.597198872627
544,-9827.48768789557
545,-9911.861538271361
546,-9921.442407535602
547,-9951.979999011075
548,-9887.763535897942
549,-9723.798395470727
550,-9831.458959651898
551,-9897.135977056962
552,-9888.749258306962
553,-9948.762003065665
554,-9878.886780557754
555,-9903.817160304588
556,-9782.005772844146
557,-9825.834614814083
558,-9842.641205992879
559,-9685.014722606804
560,-9784.815095925633
561,-9909.397535106804
562,-9925.303772745254
563,-9965.999913469146
564,-9966.524302808544
565,-10029.78887707674
566,-10000.990444521361
567,-9872.50331289557
568,-9644.81114022943
569,-9631.65508801424
570,-9802.22400365902
571,-9939.567877274525
572,-10036.174322587025
573,-10068.123936906646
574,-10093.580003955696
575,-10072.740765921677
576,-9888.718898338608
577,-9817.7421875
578,-9979.832921281646
579,-10022.419291435917
580,-10072.705424248417
581,-10062.358163568038
582,-10065.60075899921
583,-10088.004808643196
584,-10056.045750098892
585,-9761.81970678402
586,-9670.22595678402
587,-9770.709824960442
588,-9796.807716079906
589,-9963.768591772152
590,-10090.75255884098
591,-10130.042301226265
592,-10148.43616495253
593,-10153.091895767406
594,-10144.497132120254
595,-10025.160576542721
596,-9856.742756131329
597,-9722.933816257912
598,-9917.697030755538
599,-10064.328162084652
600,-10095.922171677215
601,-10159.701888844937
602,-10171.998751483387
603,-10145.072896064083
604,-10141.677684928798
605,-10166.203817246835
606,-10153.426634196994
607,-9992.94886026503
608,-9999.082562796677
609,-10047.199132219146
610,-9998.662331882912
611,-9868.297085146361
612,-9989.55699910997
613,-10067.551844343354
614,-10074.928080498417
615,-9927.968774723102
616,-9514.246007219146
617,-9623.788234276108
618,-9868.671912084652
619,-10097.41856210443
620,-10164.083279766613
621,-10167.585381230221
622,-10003.001644086235
623,-10135.884493670887
624,-10176.760235363925
625,-10221.981123912183
626,-10228.715165150317
627,-10243.728812302215
628,-10238.641712816456
629,-10228.305021261867
630,-10066.311251483387
631,-10124.44568334652
632,-10067.566196103639
633,-9991.819187598892
634,-10051.766292523735
635,-10123.970999802215
636,-10200.221271756329
637,-10212.725165644779
638,-10202.07636965981
639,-9980.51970431171
640,-10018.417239418513
641,-9951.075739220727
642,-9832.656670292721
643,-9999.081895272942
644,-10138.672925731804
645,-10201.701925929588
646,-10190.895371835442
647,-10109.23106210443
648,-10112.123875098892
649,-10223.20253164557
650,-10254.75353540348
651,-10209.99939428402
652,-10228.71797122231
653,-10091.4814453125
654,-9963.631254944621
655,-10171.596568433544
656,-10258.075306566456
657,-10278.106049742879
658,-10286.648931962025
659,-10190.762126681171
660,-10087.267664655854
661,-10202.074280557754
662,-10234.380167128165
663,-10258.844776008702
664,-10297.530594837817
665,-10263.603725771361
666,-10054.819199960442
667,-9859.660020272942
668,-9848.222990011867
669,-10082.793698081487
670,-10245.599646459652
671,-10275.13806615902
672,-10252.874258306962
673,-10308.04316653481
674,-10340.491297468354
675,-10301.936436906646
676,-10341.75861600079
677,-10347.10936263845
